,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Y_Accept_Loan
160,63,39,131,3,2.6,3,229,0,0,1,0,1
161,39,13,139,3,3.4,1,483,0,0,1,0,1
162,52,27,85,3,3.4,3,0,0,0,0,0,1
163,41,16,78,4,0.4,1,0,0,0,1,0,0
164,27,3,135,3,2.7,3,449,0,0,0,1,1
165,63,38,83,2,3.4,1,0,0,0,0,0,1
166,27,3,118,1,3.3,2,0,0,0,1,0,1
167,61,37,131,1,2.9,1,0,0,0,1,0,0
168,40,14,42,2,0.3,1,106,0,0,0,1,0
169,59,35,70,4,2.3,3,0,0,0,0,0,0
170,38,12,24,2,0.8,3,0,0,0,1,1,0
171,59,34,99,1,4.4,1,0,0,0,0,0,1
172,55,29,81,3,1.7,2,171,0,0,1,0,0
173,44,17,128,2,3.25,2,0,0,0,0,1,1
174,38,14,64,1,1.5,3,0,0,0,0,1,0
175,56,32,79,3,2.67,1,0,0,0,1,0,0
176,35,10,135,3,4.8,2,0,0,0,1,0,1
177,39,12,138,1,4.67,2,0,0,0,1,0,1
178,42,16,173,2,1.5,2,373,0,1,1,1,1
179,42,18,54,1,1.8,1,0,0,0,1,0,0
180,40,15,18,2,0.1,2,119,0,0,1,1,0
181,54,29,12,2,0.2,3,0,0,0,1,0,0
182,43,19,125,3,2.4,1,0,0,0,1,0,1
183,45,21,102,4,4.7,2,81,0,0,0,0,1
184,48,22,78,3,2.1,1,0,0,0,1,1,0
185,55,29,111,2,3.6,3,0,0,0,0,1,1
186,58,32,113,2,3.8,2,119,0,1,1,1,1
187,31,7,113,2,2.0,2,315,0,0,0,0,0
188,47,23,190,4,0.3,3,305,0,0,0,0,1
189,58,33,28,2,0.5,2,146,1,0,1,0,0
190,40,16,104,2,1.8,2,0,0,0,0,0,0
191,56,32,23,4,0.7,1,0,0,0,1,1,0
192,60,35,173,3,3.1,3,0,0,0,1,0,1
193,59,35,94,1,4.3,1,76,1,1,1,0,0
194,51,25,163,2,1.3,3,0,0,0,1,0,1
195,30,4,39,1,1.5,1,0,0,0,1,0,0
196,65,41,170,4,6.1,2,0,0,1,1,1,1
197,60,35,80,3,0.5,1,0,0,0,1,0,0
198,29,4,150,1,0.8,1,0,0,0,0,1,0
199,41,17,92,2,1.9,1,131,0,0,1,0,0
200,27,3,105,1,3.0,2,0,1,0,0,0,1
201,48,22,42,3,2.2,2,0,0,0,0,0,0
202,64,38,168,4,5.7,3,0,0,0,1,0,1
203,40,15,173,4,6.6,1,0,0,1,1,1,1
204,57,32,165,4,2.7,3,0,0,0,1,0,1
205,37,11,28,2,0.8,3,0,0,0,0,0,0
206,55,25,92,1,3.0,3,158,0,0,0,1,0
207,57,31,58,1,0.2,1,177,0,0,1,0,0
208,37,11,64,3,0.9,2,0,0,0,1,0,0
209,50,26,21,1,0.2,1,0,0,0,1,0,0
210,51,26,113,1,1.3,3,161,0,0,1,0,0
211,35,9,188,2,3.7,2,259,0,0,1,0,1
212,39,13,93,4,3.6,3,0,0,0,1,0,1
213,47,21,83,1,3.8,1,97,0,0,0,0,1
214,33,8,39,4,0.8,1,0,0,0,1,0,0
215,34,9,49,1,2.5,3,0,0,0,0,0,0
216,43,18,89,3,0.5,3,0,0,0,1,1,0
217,41,17,121,1,0.3,1,0,0,0,1,0,0
218,41,15,185,1,3.6,2,0,0,0,0,0,1
219,55,29,92,1,1.9,2,0,0,0,0,0,0
220,28,3,115,4,3.1,2,0,0,0,0,0,1
221,46,21,159,3,1.9,3,315,0,0,1,0,1
222,48,23,22,1,0.1,1,0,0,0,0,0,0
223,62,36,81,3,4.4,1,0,0,0,0,1,0
224,58,34,65,4,2.2,1,0,0,0,1,0,0
225,49,24,130,4,1.1,1,281,0,1,1,0,1
226,43,16,201,1,10.0,2,0,0,0,0,1,1
227,49,25,163,2,0.4,1,0,1,0,0,0,0
228,28,4,129,1,1.5,1,0,0,0,0,1,0
229,63,39,24,2,0.3,3,0,0,0,0,0,0
230,41,17,138,3,6.9,2,0,0,0,1,0,1
231,27,1,42,3,2.4,2,0,0,0,0,0,0
232,52,28,179,4,4.2,3,0,0,0,0,0,1
233,44,19,142,1,1.5,3,0,0,0,0,0,1
234,40,14,179,1,2.6,3,0,0,0,1,0,1
235,51,25,32,2,0.4,3,0,0,0,1,0,0
236,62,37,55,3,0.9,3,0,0,0,1,0,0
237,36,11,184,2,5.1,2,0,0,0,0,0,1
238,30,6,95,2,0.2,1,0,1,0,1,0,0
239,28,4,38,4,1.6,1,0,0,0,0,0,0
240,30,5,98,4,1.8,3,129,1,1,1,1,0
241,42,18,141,3,5.0,3,0,1,1,1,0,1
242,67,41,114,4,2.4,3,0,0,0,1,0,0
243,46,22,134,2,3.3,1,0,0,0,0,0,0
244,51,25,132,1,0.3,1,0,0,0,1,0,0
245,57,32,24,1,1.3,1,0,0,0,1,1,0
246,41,16,115,1,7.0,1,0,0,0,0,0,0
247,27,2,48,2,1.6,3,119,1,0,1,0,0
248,56,30,101,3,1.7,2,0,0,0,0,1,0
249,33,9,60,1,1.2,1,0,0,0,1,1,0
250,29,4,14,4,0.5,3,0,0,0,0,1,0
251,33,8,178,3,8.5,1,0,1,1,1,0,1
252,28,4,88,1,5.4,1,0,0,0,1,0,0
253,52,26,35,4,1.8,1,0,0,0,1,0,0
254,47,21,88,2,1.7,2,0,0,0,1,0,0
255,42,18,39,3,2.1,3,0,0,0,0,0,0
256,49,23,140,1,1.9,3,0,0,0,0,1,1
257,42,16,141,3,4.0,2,0,0,0,0,0,1
258,36,11,8,4,0.2,3,81,0,0,0,1,0
259,54,28,165,1,4.1,3,0,0,1,1,1,1
260,30,4,39,1,1.5,1,0,0,0,0,1,0
261,42,15,41,3,2.5,2,0,0,0,1,0,0
262,38,13,41,4,1.7,1,0,0,0,1,0,0
263,58,33,22,3,0.2,1,0,0,0,1,0,0
264,55,29,54,2,2.3,3,93,0,0,0,0,0
265,53,29,33,3,1.9,2,144,0,0,0,0,0
266,34,8,40,2,2.0,3,89,0,0,0,0,0
267,35,10,182,1,0.3,2,229,0,1,1,1,1
268,31,5,180,1,2.9,3,144,1,0,0,0,1
269,44,18,43,2,0.7,1,163,1,0,0,0,0
270,44,20,132,3,2.6,1,308,0,0,0,0,1
271,32,7,123,2,2.9,2,0,0,0,1,0,1
272,42,18,103,1,3.33,1,0,1,1,1,1,1
273,48,23,161,4,7.9,3,310,0,0,0,0,1
274,62,37,93,3,3.0,3,0,0,1,1,1,1
275,55,30,81,4,3.8,2,0,0,0,1,0,0
276,60,34,44,2,0.3,1,192,0,0,1,0,0
277,36,11,23,4,0.2,3,0,0,0,1,0,0
278,36,12,113,4,0.2,1,0,0,0,0,0,1
279,34,8,28,3,0.9,1,0,0,0,0,0,0
280,62,32,142,2,2.8,3,0,0,0,0,1,1
281,61,36,40,3,0.5,2,100,1,0,0,0,0
282,61,31,130,2,2.6,3,0,0,0,0,0,1
283,31,5,82,4,2.2,2,0,0,0,0,0,0
284,32,6,120,4,5.4,1,301,0,1,1,1,1
285,52,28,44,3,1.9,2,0,0,0,0,1,0
286,31,6,133,1,1.5,3,0,0,0,0,0,1
287,43,18,42,1,0.3,3,0,0,0,1,0,0
288,56,31,192,1,7.0,3,0,0,1,1,0,1
289,28,4,155,4,5.3,2,0,0,0,1,0,1
290,66,41,73,3,2.4,1,0,0,0,0,0,0
291,45,19,70,3,2.1,1,0,0,0,1,0,0
292,63,38,103,1,2.5,1,0,0,0,1,0,0
293,27,3,82,2,0.2,1,0,0,0,0,1,0
294,53,28,98,1,1.3,3,355,0,0,1,0,0
295,48,22,162,3,1.4,1,400,0,0,0,0,1
296,56,30,178,1,2.9,1,0,0,0,1,0,0
297,47,21,109,4,1.8,1,0,0,0,0,0,1
298,55,30,84,2,3.7,1,304,1,0,1,0,0
299,42,18,33,1,1.4,3,0,0,0,1,0,0
300,52,27,93,4,4.1,2,0,0,0,0,1,1
301,63,38,134,3,4.0,2,0,0,0,0,1,1
302,50,24,44,4,1.8,1,0,0,0,1,1,0
303,37,7,73,4,1.8,3,0,0,0,1,1,0
304,53,29,95,4,1.0,2,0,0,0,1,1,0
305,26,0,132,3,6.5,3,0,0,0,0,1,1
306,37,11,11,3,0.1,2,0,0,0,0,0,0
307,51,25,62,2,1.5,2,0,0,0,1,1,0
308,61,36,184,4,2.3,2,342,0,1,1,1,1
309,37,13,195,2,6.5,1,635,0,0,1,0,0
310,52,26,161,4,4.3,1,0,0,1,1,1,1
311,60,34,92,2,2.0,1,0,0,0,0,0,0
312,39,15,143,1,3.5,1,0,0,0,1,1,0
313,28,4,112,2,1.6,2,0,0,0,1,0,1
314,46,22,152,2,1.4,1,0,0,0,1,0,0
315,26,0,54,3,1.1,2,0,0,0,1,0,0
316,44,18,162,4,1.3,1,301,0,0,0,0,1
317,57,32,124,1,0.2,2,0,0,0,1,0,1
318,44,19,70,1,0.1,2,0,0,0,0,0,0
319,63,38,8,4,0.6,2,0,0,0,1,0,0
320,60,35,18,1,1.5,2,0,0,0,1,1,0
321,52,26,194,2,5.7,2,0,0,0,1,0,1
322,59,34,23,4,0.4,2,78,0,0,0,0,0
323,56,32,51,4,1.5,1,0,0,0,0,0,0
324,37,12,182,3,5.8,3,0,0,0,1,0,1
325,52,27,30,2,0.7,2,0,0,0,1,1,0
326,34,8,82,2,1.5,3,0,1,1,1,1,0
327,49,25,195,4,3.0,1,617,0,0,0,0,1
328,43,19,75,4,0.2,3,102,0,0,1,0,0
329,44,19,172,2,4.3,3,391,1,1,1,0,1
330,31,5,99,4,1.8,2,268,0,0,0,0,0
331,39,15,55,1,1.5,3,0,0,0,1,0,0
332,50,26,82,1,0.0,1,0,0,0,1,1,0
333,29,3,172,4,4.4,1,0,0,0,0,0,1
334,46,22,135,3,4.1,1,213,0,0,1,0,1
335,36,9,31,4,1.0,2,0,1,0,1,0,0
336,34,8,65,1,3.0,1,227,0,0,1,0,1
337,41,15,158,1,4.7,2,0,1,1,0,1,1
338,55,30,53,3,1.7,1,0,0,0,1,0,0
339,54,30,194,3,6.0,3,587,1,1,1,1,1
340,32,8,140,4,6.6,3,0,0,1,0,1,1
341,37,12,160,2,3.3,1,0,0,0,0,0,0
342,65,39,170,3,7.9,3,99,0,1,1,0,1
343,36,11,152,2,3.9,1,159,0,0,0,1,0
344,48,23,173,3,0.2,1,0,0,1,1,1,1
345,42,17,168,2,7.9,2,0,0,0,1,0,1
346,39,13,31,2,0.8,3,0,0,0,0,0,0
347,64,37,138,2,2.8,2,0,0,0,1,0,1
348,49,25,53,2,1.0,3,181,0,0,0,0,0
349,35,11,188,1,0.9,3,282,0,0,1,0,1
350,27,3,90,3,0.8,1,0,0,0,1,0,0
351,29,3,92,2,1.3,1,287,0,0,1,0,0
352,54,27,120,4,3.0,2,431,0,0,1,0,1
353,30,6,29,1,0.2,3,90,0,0,1,0,0
354,30,3,150,4,5.0,2,0,0,0,1,0,1
355,57,33,134,4,0.9,1,198,0,0,1,0,1
356,55,31,159,1,3.9,3,0,0,0,0,0,1
357,42,15,24,3,1.0,2,0,0,0,1,1,0
358,24,0,44,4,1.6,1,180,0,0,1,0,0
359,50,24,22,1,0.3,3,0,0,0,0,1,0
360,58,32,81,3,1.7,2,0,0,0,1,1,0
361,48,24,18,4,0.2,1,0,0,0,1,1,0
362,47,23,94,1,4.7,1,0,0,0,1,1,0
363,46,21,193,2,8.1,3,0,0,0,0,0,1
364,59,35,168,4,4.1,2,0,0,0,1,0,1
365,52,27,81,4,3.8,2,0,0,0,0,1,0
366,42,17,111,3,3.0,1,0,1,1,0,1,1
367,56,30,164,4,0.5,2,234,0,1,1,1,1
368,36,12,18,4,1.0,1,0,0,0,1,1,0
369,62,37,90,3,0.5,1,0,0,0,1,0,0
370,45,21,83,4,2.0,3,0,0,0,1,0,0
371,44,20,62,2,2.5,1,0,1,0,1,0,0
372,29,4,182,1,3.7,3,0,0,0,1,0,1
373,49,25,30,4,0.6,1,0,0,0,0,0,0
374,40,14,53,1,2.0,1,0,0,0,1,1,0
375,62,36,44,2,0.3,1,0,0,0,0,0,0
376,57,32,33,2,2.0,2,0,0,0,1,0,0
377,44,19,201,2,8.8,1,0,0,0,1,1,0
378,31,6,72,1,2.6,2,0,0,0,1,0,0
379,63,39,40,4,1.2,2,0,0,0,1,0,0
380,49,23,68,1,1.5,2,0,0,0,0,0,0
381,58,33,15,4,0.9,2,0,0,0,0,0,0
382,27,1,130,3,2.9,2,0,0,0,0,0,1
383,55,29,28,2,0.7,2,82,0,0,1,1,0
384,53,27,115,2,0.5,3,0,0,0,0,0,1
385,42,18,164,1,1.3,3,0,1,1,1,1,1
386,54,30,145,2,6.8,1,0,1,0,0,0,0
387,29,4,130,2,6.7,1,0,0,0,0,1,0
388,52,26,110,2,5.4,3,204,1,1,1,0,1
389,36,12,150,4,5.4,1,0,1,1,1,0,1
390,58,34,149,4,7.2,2,0,0,1,1,1,1
391,33,7,31,4,1.0,1,0,0,0,1,1,0
392,60,35,39,2,1.6,3,0,0,0,1,0,0
393,45,19,128,4,6.0,3,0,0,0,1,0,1
394,40,16,50,2,0.6,3,0,0,0,0,0,0
395,55,29,60,3,2.2,3,84,0,0,1,0,0
396,61,36,53,3,0.5,2,0,0,0,1,0,0
397,51,25,181,1,3.3,3,589,1,1,1,0,1
398,35,11,41,3,2.0,1,0,0,0,1,0,0
399,28,4,43,3,0.1,2,0,0,0,1,0,0
400,59,35,85,1,3.4,3,0,0,1,0,1,1
401,62,37,15,3,0.1,3,91,0,0,0,0,0
402,64,39,13,4,0.6,2,0,0,0,1,0,0
403,58,34,128,1,7.4,1,0,0,0,0,0,0
404,51,25,29,1,0.3,3,140,0,0,0,0,0
405,45,18,45,3,1.0,2,0,0,0,1,0,0
406,61,36,119,2,5.4,2,0,0,0,1,0,1
407,25,0,38,2,1.6,3,0,0,0,0,0,0
408,29,5,122,4,3.0,1,0,0,0,0,1,1
409,35,10,74,4,1.3,1,0,0,0,1,0,0
410,49,24,75,1,2.8,2,160,0,0,0,1,0
411,58,33,75,2,0.0,3,0,0,0,1,0,0
412,65,41,185,3,2.0,2,0,0,0,0,0,1
413,54,29,154,1,2.4,2,352,0,0,1,0,1
414,42,18,34,4,0.3,1,104,1,0,1,0,0
415,30,5,38,4,0.8,1,129,0,0,1,1,0
416,30,5,112,4,5.0,2,0,0,0,0,1,1
417,32,5,41,2,1.0,2,112,1,0,1,0,0
418,56,32,161,1,5.8,3,0,1,0,0,0,1
419,61,36,21,4,0.4,2,123,0,0,0,0,0
420,53,23,65,4,2.0,3,0,0,0,1,0,0
421,47,22,122,1,5.1,3,163,1,0,0,0,1
422,63,37,165,4,5.1,3,0,0,0,0,0,1
423,26,2,171,3,6.0,2,0,0,0,1,0,1
424,47,21,123,1,7.3,1,0,0,0,0,0,0
425,42,18,153,3,5.6,1,416,0,0,0,0,1
426,46,21,34,2,1.3,1,116,0,0,0,0,0
427,23,-2,81,2,1.8,2,0,0,0,0,0,0
428,66,41,105,1,0.8,3,0,1,1,1,1,0
429,43,18,59,1,3.7,3,0,0,0,1,0,0
430,31,5,91,3,1.6,1,126,0,0,1,1,0
431,33,8,45,2,0.1,1,0,0,0,0,1,0
432,45,19,122,4,4.1,2,0,0,0,1,0,1
433,43,18,38,1,0.5,3,144,0,0,1,0,0
434,27,2,41,2,1.7,2,0,0,0,1,0,0
435,31,6,19,4,1.1,3,104,0,1,1,1,0
436,37,11,89,1,1.5,3,0,0,0,1,0,0
437,34,9,160,4,8.0,3,0,0,0,0,1,1
438,30,3,33,4,1.5,2,85,0,0,0,0,0
439,54,29,82,3,3.7,2,0,0,0,1,0,1
440,44,20,171,4,0.7,1,567,0,1,1,1,1
441,38,13,169,1,6.8,3,0,0,1,1,1,1
442,33,9,183,2,8.8,3,582,0,0,1,0,1
443,57,31,165,1,1.6,2,0,0,0,1,0,1
444,36,10,179,3,6.6,1,0,0,0,1,0,1
445,30,6,179,3,4.9,1,142,0,0,1,0,1
446,54,30,78,4,1.6,2,0,0,0,1,1,0
447,65,39,160,4,3.8,1,237,0,0,1,0,1
448,31,5,93,2,3.1,2,0,0,0,1,0,1
449,31,5,101,1,2.9,3,170,1,0,0,0,0
450,39,15,91,2,1.7,2,151,0,0,0,0,0
451,27,2,158,3,0.4,2,0,0,1,1,0,1
452,64,40,32,3,0.1,3,0,0,0,1,0,0
453,37,12,42,3,0.7,2,0,0,0,1,1,0
454,30,6,41,1,2.4,2,0,0,0,1,0,0
455,27,1,99,1,3.0,3,149,0,0,0,1,1
456,30,4,142,3,4.2,1,359,0,0,0,0,1
457,29,4,110,4,2.5,3,0,0,0,0,0,1
458,54,28,82,4,2.6,3,294,0,0,0,0,0
459,39,14,75,3,3.0,1,0,0,0,0,1,0
460,44,18,75,2,3.5,1,0,0,0,1,0,1
461,64,40,63,4,1.2,2,0,1,0,0,1,0
462,52,26,91,1,4.3,2,0,0,1,1,1,1
463,65,39,18,2,0.4,1,0,1,1,1,1,0
464,51,27,68,1,1.6,3,0,0,0,1,0,0
465,58,33,122,4,0.2,2,0,0,1,1,0,1
466,51,27,112,3,1.8,2,0,1,1,1,1,0
467,64,40,181,2,2.3,2,0,0,1,1,1,1
468,53,28,18,4,0.8,1,0,0,0,0,0,0
469,50,24,103,1,0.3,1,0,0,0,1,0,0
470,46,21,204,2,2.8,1,0,0,0,1,0,0
471,59,35,43,4,1.3,1,0,0,0,1,0,0
472,36,11,183,1,3.0,3,0,0,1,1,1,1
473,56,31,72,3,2.0,2,0,0,0,0,0,0
474,35,5,203,1,10.0,3,0,0,0,0,0,1
475,45,21,63,1,0.8,3,245,0,0,1,1,0
476,40,10,29,1,0.75,3,0,0,0,1,0,0
477,37,13,105,1,0.8,2,0,0,0,0,1,0
478,60,35,191,4,5.6,3,0,0,0,0,0,1
479,53,28,175,3,3.6,3,0,0,1,1,1,1
480,56,30,158,4,6.1,1,0,0,0,0,0,1
481,44,18,123,3,5.9,1,0,0,1,1,1,1
482,27,1,140,1,5.9,2,175,1,1,1,0,1
483,40,16,89,4,0.8,1,155,0,0,1,0,0
484,28,3,193,3,4.0,2,0,0,0,1,0,1
485,56,30,140,4,0.5,1,292,0,0,0,0,1
486,45,20,191,3,2.6,3,123,0,0,0,0,1
487,61,36,35,3,1.3,2,0,0,0,0,1,0
488,56,31,48,2,2.1,3,0,0,0,0,1,0
489,41,15,65,3,0.5,3,0,0,0,0,0,0
490,65,41,195,3,0.4,1,0,1,1,0,1,1
491,51,27,20,4,0.5,2,0,0,0,1,0,0
492,39,13,21,3,0.2,2,0,0,0,0,0,0
493,30,6,182,4,0.8,3,94,0,0,1,0,1
494,37,12,128,2,3.9,1,0,0,0,1,1,0
