age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,target
32,technician,single,3,360,no,no,164,2,-1,0,no
37,management,married,3,0,no,no,268,2,182,3,yes
42,entrepreneur,divorced,3,2,yes,no,380,1,-1,0,no
31,management,single,3,6248,yes,no,154,2,-1,0,no
41,services,married,3,412,yes,no,154,5,-1,0,no
56,retired,married,2,344,yes,no,221,1,-1,0,no
54,management,divorced,3,3222,no,no,67,2,-1,0,no
41,blue-collar,divorced,2,174,yes,no,367,2,297,1,no
40,technician,single,2,591,no,yes,87,6,-1,0,no
50,blue-collar,divorced,1,388,no,no,701,1,-1,0,no
40,unemployed,married,2,219,yes,no,204,2,196,1,no
27,admin.,divorced,2,451,yes,no,652,1,-1,0,yes
60,retired,married,1,5,no,no,63,2,-1,0,no
28,admin.,single,2,177,yes,yes,150,1,-1,0,no
52,services,married,2,657,no,no,398,2,460,2,yes
37,management,married,3,1315,no,no,224,1,-1,0,yes
51,blue-collar,married,1,1466,yes,no,406,2,-1,0,no
41,technician,single,2,879,no,yes,60,4,-1,0,no
35,blue-collar,single,1,293,yes,no,521,2,-1,0,no
38,admin.,married,2,424,yes,no,279,1,-1,0,no
34,blue-collar,married,2,1831,yes,no,203,2,-1,0,no
39,blue-collar,married,1,111,no,no,201,2,-1,0,no
34,blue-collar,married,1,455,yes,no,372,3,-1,0,no
27,services,single,2,-195,yes,no,391,1,-1,0,yes
32,management,single,3,3616,no,no,165,2,-1,0,no
57,blue-collar,married,2,14093,no,no,231,5,-1,0,no
41,unknown,single,3,1567,no,no,291,2,-1,0,no
41,admin.,married,3,5426,yes,no,149,2,-1,0,no
30,admin.,single,3,261,no,no,233,1,137,20,no
36,blue-collar,divorced,2,2843,no,no,473,1,182,1,no
31,unemployed,single,1,406,no,no,736,1,-1,0,yes
36,blue-collar,married,2,0,yes,no,337,1,-1,0,no
38,management,single,3,493,yes,no,553,1,367,7,no
49,technician,married,2,5996,no,no,345,2,-1,0,no
57,services,single,1,3777,yes,no,65,2,-1,0,no
34,management,single,2,524,no,no,9,1,-1,0,no
32,management,single,3,574,yes,no,259,2,145,3,no
37,blue-collar,married,2,427,yes,yes,371,3,-1,0,no
33,self-employed,married,3,483,yes,no,280,2,-1,0,no
56,unemployed,married,1,3391,no,no,243,1,-1,0,yes
27,housemaid,married,1,0,yes,no,435,3,-1,0,no
21,student,single,2,2488,no,no,258,6,169,3,yes
58,management,married,3,1517,yes,no,7,5,-1,0,no
32,self-employed,married,2,217,yes,yes,317,5,-1,0,no
33,blue-collar,single,2,22,no,no,76,2,207,1,no
25,student,single,2,331,no,no,170,4,-1,0,yes
25,technician,single,2,505,no,yes,386,2,-1,0,yes
30,services,married,2,1808,yes,no,83,2,-1,0,no
22,admin.,single,2,4111,no,yes,65,1,-1,0,no
39,blue-collar,married,1,52,no,no,69,1,-1,0,no
46,management,divorced,3,25,no,no,564,2,-1,0,no
31,admin.,divorced,2,1890,yes,no,588,1,-1,0,no
45,blue-collar,married,1,419,no,no,113,4,-1,0,no
32,technician,married,2,2693,yes,no,16,1,-1,0,no
36,blue-collar,married,2,-231,no,yes,779,2,-1,0,no
51,management,single,3,-55,yes,no,281,2,266,6,no
34,self-employed,single,3,462,no,no,1877,3,-1,0,yes
24,unemployed,single,2,119,no,no,51,1,-1,0,no
45,technician,single,2,586,no,yes,32,3,-1,0,no
32,blue-collar,single,2,228,no,no,176,1,288,3,no
77,retired,divorced,3,4659,no,no,161,1,-1,0,yes
41,blue-collar,married,1,168,yes,no,187,3,-1,0,no
37,blue-collar,married,1,0,yes,no,24,1,-1,0,no
27,technician,single,2,769,yes,no,317,2,-1,0,no
33,management,single,3,0,no,no,236,10,-1,0,no
29,admin.,single,2,428,yes,yes,54,1,345,2,no
34,management,single,3,0,no,no,71,1,-1,0,no
52,management,married,3,-970,yes,no,489,1,-1,0,yes
32,management,divorced,3,948,no,no,204,2,-1,0,no
32,management,single,3,0,yes,no,455,2,-1,0,no
31,management,single,3,874,yes,no,190,2,-1,0,no
42,admin.,married,2,323,yes,yes,280,2,-1,0,no
35,management,married,3,106,no,yes,588,2,-1,0,no
56,retired,married,1,1906,no,yes,45,9,-1,0,no
48,technician,married,2,1152,yes,no,168,5,-1,0,no
46,admin.,married,2,179,yes,no,194,4,436,1,no
36,management,single,3,442,yes,yes,102,3,-1,0,no
45,unemployed,divorced,1,-249,yes,yes,92,1,-1,0,no
55,entrepreneur,married,2,8104,no,no,213,2,-1,0,no
39,technician,married,2,501,no,no,289,1,-1,0,no
35,technician,divorced,2,308,no,no,77,2,-1,0,no
55,admin.,married,2,602,no,no,324,3,90,2,yes
55,technician,married,2,273,yes,no,84,3,183,3,no
27,self-employed,single,2,50,no,no,168,1,-1,0,no
34,technician,married,2,1641,yes,no,380,1,-1,0,no
34,blue-collar,married,3,20,no,no,10,1,-1,0,no
25,admin.,single,2,4590,yes,no,199,2,-1,0,no
41,admin.,single,2,-256,no,yes,35,3,-1,0,no
43,services,married,2,978,yes,yes,82,2,-1,0,no
28,management,single,3,80,no,no,676,2,146,2,yes
31,admin.,single,2,2104,yes,no,455,1,-1,0,no
78,housemaid,married,2,499,no,no,80,4,-1,0,no
45,blue-collar,divorced,2,1269,yes,no,549,2,-1,0,no
48,technician,married,3,310,no,no,135,1,-1,0,no
32,blue-collar,single,2,1143,yes,yes,412,1,-1,0,no
42,technician,married,2,2980,no,no,101,3,-1,0,no
37,management,single,3,37,no,no,253,2,-1,0,no
40,admin.,single,2,462,yes,yes,272,1,335,4,no
32,admin.,married,2,1031,yes,no,84,1,-1,0,no
42,management,married,3,9009,no,no,135,2,-1,0,no
43,admin.,married,2,-465,yes,yes,166,1,-1,0,no
44,admin.,married,2,5181,yes,yes,18,7,-1,0,no
37,admin.,married,2,176,yes,no,147,2,347,1,no
37,admin.,married,3,0,yes,no,65,2,119,1,no
28,technician,single,3,172,yes,yes,194,2,-1,0,no
32,services,single,2,0,no,yes,333,2,-1,0,no
34,admin.,single,2,6979,yes,no,14,5,-1,0,no
40,admin.,divorced,2,6,no,no,140,1,-1,0,no
34,services,married,2,-62,yes,no,109,3,-1,0,no
34,self-employed,married,3,1972,yes,no,61,2,-1,0,no
34,admin.,married,3,899,yes,no,377,3,7,4,no
37,services,single,2,21,yes,no,96,1,271,2,no
36,technician,married,2,23,yes,no,152,2,347,1,no
56,retired,married,2,-1206,yes,no,382,2,-1,0,yes
49,blue-collar,married,1,0,yes,yes,97,6,-1,0,no
33,self-employed,married,2,215,yes,no,543,12,-1,0,no
30,management,single,3,1372,no,no,240,2,-1,0,no
36,services,married,2,1981,no,no,48,2,-1,0,no
23,student,single,2,9216,no,no,471,2,-1,0,no
57,retired,divorced,2,39,yes,no,354,3,-1,0,no
27,blue-collar,single,2,5563,yes,no,435,2,-1,0,no
38,services,married,2,1,no,yes,152,2,-1,0,no
42,technician,married,3,782,no,no,285,1,-1,0,no
75,retired,married,2,3771,no,no,185,1,181,2,yes
34,technician,single,3,992,yes,no,301,1,88,2,no
48,technician,married,2,1526,no,no,273,2,-1,0,no
35,technician,single,3,2658,yes,no,768,2,141,3,yes
39,management,divorced,3,1315,yes,no,1337,4,126,1,no
29,blue-collar,single,3,455,no,no,403,1,-1,0,yes
45,technician,single,3,0,yes,no,139,2,-1,0,no
42,technician,married,2,2030,yes,yes,196,1,-1,0,no
29,technician,married,2,1599,yes,no,115,1,61,1,no
38,services,single,2,-196,yes,no,60,1,271,1,no
56,retired,married,2,1333,no,no,17,14,-1,0,no
36,technician,single,2,9149,yes,no,141,3,-1,0,no
25,blue-collar,single,2,-350,yes,no,95,3,-1,0,no
38,technician,married,3,432,yes,no,10,2,373,1,no
57,self-employed,married,2,11494,no,no,198,1,-1,0,no
31,management,married,3,-253,no,no,220,4,-1,0,no
42,management,married,3,372,yes,no,654,2,-1,0,yes
45,technician,married,2,1410,no,no,71,2,-1,0,no
30,blue-collar,married,2,975,yes,no,256,2,351,2,no
49,blue-collar,married,1,305,yes,yes,834,10,-1,0,no
49,services,married,2,400,no,no,151,3,-1,0,no
53,retired,married,3,-22,yes,no,20,3,-1,0,no
37,technician,married,2,4030,yes,no,178,5,-1,0,no
49,blue-collar,married,1,365,no,no,59,2,-1,0,no
41,self-employed,married,1,204,no,no,111,7,-1,0,no
54,management,married,1,1691,yes,no,186,1,-1,0,no
32,services,single,2,406,yes,no,227,1,-1,0,no
33,technician,married,2,-204,no,no,297,3,-1,0,no
33,technician,married,2,359,yes,no,210,1,242,1,no
36,blue-collar,married,1,123,yes,no,9,1,-1,0,no
35,technician,married,3,0,yes,yes,112,1,62,6,no
52,unknown,married,2,142,no,no,112,6,-1,0,no
40,entrepreneur,married,3,3571,no,no,222,3,-1,0,no
44,technician,single,2,33,yes,no,195,3,351,10,no
45,blue-collar,single,2,0,yes,no,768,2,91,5,no
30,student,single,2,3096,no,no,123,1,-1,0,no
48,technician,divorced,2,20,no,no,145,3,-1,0,no
33,blue-collar,married,2,3576,yes,no,124,1,308,2,no
57,housemaid,married,1,7082,no,no,69,3,-1,0,no
51,unemployed,married,3,1634,yes,no,168,4,-1,0,no
34,admin.,single,2,1,yes,no,483,7,-1,0,no
50,self-employed,married,3,4012,no,no,690,3,-1,0,no
44,management,married,3,3762,no,no,125,12,-1,0,no
27,admin.,married,2,-247,yes,yes,344,2,-1,0,no
50,blue-collar,married,2,606,yes,no,673,2,-1,0,no
36,management,married,3,0,yes,no,60,1,250,1,no
42,management,married,2,-189,yes,no,247,2,-1,0,no
32,unemployed,single,2,0,no,no,123,2,-1,0,no
42,management,married,3,484,yes,no,144,2,-1,0,no
43,technician,married,2,0,no,yes,9,2,172,5,no
31,management,married,3,395,yes,no,155,3,-1,0,no
32,management,married,3,2349,no,no,134,5,-1,0,no
55,blue-collar,divorced,1,410,no,yes,221,2,-1,0,no
58,retired,married,1,3401,yes,no,84,3,265,2,no
46,blue-collar,married,1,222,no,no,71,2,-1,0,no
55,blue-collar,married,2,989,yes,yes,246,4,-1,0,no
34,management,married,3,415,no,yes,361,2,-1,0,no
28,unemployed,single,2,16,no,no,119,4,-1,0,no
42,technician,divorced,3,7190,yes,no,375,2,-1,0,no
29,blue-collar,single,2,482,no,yes,1097,3,-1,0,yes
54,housemaid,married,2,209,yes,yes,97,1,-1,0,no
32,technician,single,2,0,no,no,181,2,-1,0,no
39,technician,single,3,5803,no,no,83,3,-1,0,no
53,entrepreneur,married,3,624,no,yes,180,4,-1,0,no
58,technician,married,3,883,no,no,543,1,78,2,no
40,self-employed,married,2,1516,yes,yes,373,1,-1,0,no
29,student,single,2,872,yes,no,230,1,-1,0,no
33,technician,married,3,-988,yes,yes,83,3,-1,0,no
38,admin.,single,2,902,yes,no,58,13,-1,0,no
56,services,divorced,2,1007,no,no,88,6,-1,0,no
40,services,married,2,0,yes,no,297,1,28,3,no
24,blue-collar,single,2,174,yes,yes,487,1,-1,0,yes
46,management,married,2,12186,no,no,29,3,-1,0,no
35,self-employed,married,2,524,yes,no,484,4,-1,0,no
35,blue-collar,single,3,0,yes,no,262,4,-1,0,no
34,technician,married,2,4,yes,no,644,1,-1,0,no
35,housemaid,married,3,11219,no,no,699,2,79,1,no
38,technician,single,3,0,no,no,247,2,-1,0,no
50,blue-collar,married,1,5776,no,no,49,3,-1,0,no
51,blue-collar,divorced,1,37,yes,no,341,1,-1,0,no
59,self-employed,married,3,593,no,no,64,2,-1,0,no
32,blue-collar,married,2,1148,yes,no,121,1,-1,0,no
37,blue-collar,single,2,3561,yes,no,98,1,-1,0,no
42,admin.,divorced,2,63,no,no,88,6,-1,0,no
40,student,married,2,260,no,no,197,6,-1,0,no
28,technician,single,3,2269,yes,no,331,1,-1,0,no
47,admin.,married,2,1060,yes,no,83,3,-1,0,no
27,self-employed,married,2,-220,yes,no,138,2,-1,0,no
41,management,married,3,49,yes,no,312,5,-1,0,no
34,admin.,married,3,69,no,yes,120,3,1,6,yes
50,blue-collar,married,1,4108,yes,no,526,2,-1,0,yes
47,blue-collar,married,2,480,yes,no,211,2,-1,0,no
53,services,married,2,4994,no,no,62,6,-1,0,no
53,technician,divorced,2,0,yes,yes,135,5,-1,0,no
47,management,married,3,3681,no,no,101,2,-1,0,no
29,management,married,3,451,no,no,451,1,-1,0,no
45,blue-collar,divorced,1,-311,yes,no,1030,1,-1,0,yes
38,entrepreneur,married,2,593,yes,yes,1484,24,-1,0,yes
32,blue-collar,married,2,759,yes,no,317,5,-1,0,yes
70,retired,divorced,1,4531,no,no,445,1,-1,0,no
65,retired,divorced,1,1840,no,no,383,2,188,5,no
56,blue-collar,married,2,345,yes,no,605,1,-1,0,no
35,blue-collar,married,2,1287,yes,no,330,2,-1,0,no
56,technician,married,2,205,no,yes,442,2,-1,0,no
49,entrepreneur,married,2,687,yes,no,772,1,-1,0,yes
38,unemployed,married,1,1147,yes,yes,249,5,-1,0,no
35,management,married,3,4286,yes,no,357,1,-1,0,no
38,admin.,married,3,605,no,no,147,2,-1,0,no
49,blue-collar,married,2,8545,yes,yes,199,7,167,1,no
43,blue-collar,single,1,2,yes,no,783,3,-1,0,no
43,management,married,3,2,no,yes,472,2,-1,0,no
25,admin.,single,3,760,yes,no,223,3,89,2,yes
30,blue-collar,married,1,1317,yes,no,395,2,-1,0,no
46,blue-collar,married,2,182,no,no,56,1,-1,0,no
50,admin.,married,1,276,no,yes,641,6,-1,0,no
35,entrepreneur,married,2,2971,no,no,429,4,164,2,yes
26,unemployed,single,2,1064,no,no,113,1,-1,0,no
37,blue-collar,married,2,-67,no,no,157,1,-1,0,no
60,self-employed,single,3,179,no,yes,79,4,-1,0,no
38,management,married,3,1199,no,no,178,1,1,1,yes
47,blue-collar,married,1,214,yes,yes,168,1,-1,0,no
33,technician,married,2,6699,no,no,425,1,462,1,no
51,unemployed,married,2,1760,no,yes,162,1,-1,0,no
35,entrepreneur,single,3,145,yes,no,799,2,-1,0,yes
35,unemployed,married,2,978,no,no,1370,3,209,3,yes
48,admin.,single,2,1150,yes,no,357,1,-1,0,no
37,admin.,married,2,121,no,no,22,6,-1,0,no
29,technician,single,3,828,yes,no,215,3,321,3,no
34,admin.,married,2,244,yes,no,56,4,-1,0,no
32,services,married,1,228,yes,no,1017,6,-1,0,yes
30,management,single,3,424,no,no,298,4,-1,0,yes
47,management,divorced,3,447,no,yes,126,1,-1,0,no
33,blue-collar,married,1,-195,no,no,9,1,-1,0,no
33,management,single,3,1410,yes,no,8,1,254,5,no
63,retired,married,1,1084,no,no,201,1,183,1,no
51,self-employed,divorced,1,10924,no,no,106,2,-1,0,no
41,management,married,3,832,yes,yes,164,1,176,1,no
56,retired,married,3,478,no,no,97,1,-1,0,no
60,management,single,3,0,no,yes,151,1,-1,0,no
41,self-employed,single,3,3950,yes,no,96,2,-1,0,no
36,blue-collar,single,2,219,yes,yes,270,2,347,1,no
57,management,married,3,1602,no,no,339,3,-1,0,no
55,management,married,1,2587,no,no,328,2,94,2,yes
44,admin.,married,2,0,yes,yes,159,1,-1,0,no
47,self-employed,married,3,2303,yes,no,323,2,364,1,no
31,blue-collar,married,2,1660,yes,no,342,1,-1,0,no
35,management,married,3,32,yes,no,180,1,-1,0,no
39,management,married,3,278,no,yes,60,3,-1,0,no
50,management,married,3,4,no,no,223,1,96,2,no
29,management,married,3,318,yes,no,1434,2,356,4,no
30,services,single,2,209,yes,no,30,2,-1,0,no
46,services,married,2,271,yes,no,134,4,-1,0,no
48,admin.,divorced,2,4099,no,no,397,2,-1,0,yes
26,student,single,2,2572,yes,no,620,1,-1,0,no
36,management,single,3,339,no,no,6,6,-1,0,no
42,blue-collar,married,1,0,yes,yes,209,2,-1,0,no
50,housemaid,married,1,395,yes,no,419,2,-1,0,no
49,blue-collar,married,2,2039,yes,no,283,2,-1,0,no
45,management,married,3,5450,no,no,188,2,-1,0,no
23,student,single,2,780,no,no,267,1,-1,0,no
38,technician,single,2,0,yes,no,196,2,-1,0,no
32,management,single,3,8436,yes,no,245,1,149,2,no
60,technician,single,1,11262,no,no,323,1,-1,0,yes
30,entrepreneur,married,2,946,yes,no,1065,1,183,1,no
58,housemaid,married,3,497,no,no,138,5,-1,0,no
60,retired,married,1,55,no,no,207,1,-1,0,no
38,services,married,2,-140,no,no,456,3,-1,0,no
51,technician,married,2,-379,yes,no,261,1,-1,0,no
42,admin.,married,2,-396,yes,no,80,1,308,4,no
30,services,single,2,0,yes,no,131,6,363,9,no
40,management,married,1,733,yes,no,94,7,-1,0,no
37,management,married,3,393,yes,no,567,3,275,4,yes
53,technician,divorced,1,7290,yes,no,153,1,-1,0,no
27,services,single,2,468,yes,no,109,1,-1,0,no
39,blue-collar,married,2,0,yes,no,53,1,325,1,no
39,blue-collar,married,1,3705,yes,no,77,1,-1,0,no
59,retired,married,3,9676,no,no,234,2,-1,0,yes
37,services,married,2,1328,yes,no,121,2,341,4,no
41,blue-collar,married,1,8,yes,no,155,2,-1,0,no
45,blue-collar,married,1,61,no,no,108,1,-1,0,no
48,management,married,3,6613,no,no,159,3,-1,0,no
48,technician,married,2,302,yes,no,208,3,-1,0,no
32,blue-collar,married,2,1005,no,no,215,1,-1,0,no
35,services,married,2,109,yes,no,597,3,-1,0,no
33,management,single,3,1240,yes,no,505,2,260,1,no
28,blue-collar,single,1,0,yes,yes,380,4,-1,0,no
35,technician,married,2,0,no,no,106,4,-1,0,no
33,blue-collar,married,2,43,yes,no,332,2,358,2,no
41,technician,married,2,288,yes,no,221,4,-1,0,no
34,admin.,married,2,613,yes,no,80,1,-1,0,no
37,technician,single,3,6101,no,no,60,5,87,1,no
38,blue-collar,married,1,168,yes,yes,212,3,-1,0,no
39,blue-collar,married,1,7685,yes,no,493,3,-1,0,no
35,technician,divorced,3,4515,yes,no,98,2,-1,0,no
28,blue-collar,single,2,517,no,yes,681,1,-1,0,yes
27,blue-collar,single,2,148,no,no,203,1,-1,0,no
48,retired,married,1,-285,no,yes,157,1,-1,0,no
50,blue-collar,married,2,887,no,no,287,1,-1,0,no
45,self-employed,married,2,3098,yes,no,159,2,-1,0,no
41,technician,married,3,744,yes,no,125,1,-1,0,no
39,technician,married,2,130,no,no,202,2,-1,0,no
44,management,married,2,438,yes,no,37,3,303,1,no
54,admin.,married,2,0,no,no,161,1,98,2,yes
49,management,married,3,322,no,no,72,4,-1,0,no
34,blue-collar,single,2,186,no,no,342,1,-1,0,no
75,retired,divorced,3,3810,yes,no,262,1,183,1,yes
42,management,married,3,0,no,no,325,2,-1,0,no
53,blue-collar,married,2,4380,no,no,223,7,-1,0,no
49,management,divorced,3,755,no,no,1212,4,-1,0,yes
31,services,single,2,2070,no,no,319,2,-1,0,no
45,blue-collar,single,1,999,no,no,182,2,-1,0,no
39,self-employed,married,2,167,yes,yes,330,1,-1,0,no
46,technician,married,2,1322,yes,yes,514,1,-1,0,no
42,admin.,divorced,2,1076,yes,no,213,1,-1,0,no
37,management,married,3,502,yes,no,551,1,351,1,no
26,technician,single,3,1216,yes,no,472,2,-1,0,no
37,management,single,3,876,yes,no,140,4,327,2,no
36,services,single,2,342,yes,no,142,1,-1,0,no
29,blue-collar,single,1,950,yes,no,135,3,-1,0,no
36,blue-collar,married,1,973,yes,yes,293,1,-1,0,no
26,technician,married,3,3825,yes,no,107,1,-1,0,no
32,blue-collar,married,2,2366,yes,no,127,2,-1,0,no
40,management,married,3,542,yes,no,1816,1,-1,0,no
53,management,married,1,995,no,no,200,3,-1,0,no
29,management,married,3,20,yes,no,418,1,-1,0,no
34,technician,single,3,228,yes,no,387,4,-1,0,no
43,blue-collar,married,2,130,no,no,156,1,337,3,no
56,management,married,3,217,no,yes,121,2,-1,0,no
55,entrepreneur,divorced,3,0,no,no,108,2,-1,0,no
31,self-employed,married,3,259,yes,no,47,1,-1,0,no
27,admin.,single,2,619,yes,no,16,5,322,4,no
36,management,married,2,644,yes,no,54,2,-1,0,no
44,management,married,3,22,yes,no,265,2,-1,0,no
37,admin.,divorced,3,4303,yes,no,168,1,-1,0,no
30,admin.,single,2,239,yes,no,115,3,-1,0,no
42,technician,single,2,275,no,no,31,8,-1,0,no
30,management,married,3,1221,yes,no,279,4,-1,0,yes
62,retired,married,2,816,no,no,28,2,-1,0,no
24,blue-collar,married,2,1222,yes,no,369,1,-1,0,no
31,technician,married,2,2363,yes,no,247,1,-1,0,no
66,retired,married,3,2262,no,no,155,1,-1,0,no
47,admin.,married,2,2,no,no,89,1,-1,0,no
39,entrepreneur,married,3,2,yes,no,180,1,-1,0,no
35,technician,married,2,4508,yes,no,854,1,-1,0,yes
35,admin.,divorced,2,-402,yes,no,46,1,-1,0,no
27,technician,married,2,1577,yes,yes,266,2,-1,0,no
32,blue-collar,married,2,34,yes,no,321,2,-1,0,no
44,management,married,3,795,no,no,99,24,-1,0,no
42,blue-collar,married,2,117,yes,no,147,1,-1,0,no
34,self-employed,single,3,5462,no,no,430,1,-1,0,yes
25,services,single,2,402,no,yes,264,1,-1,0,no
40,technician,single,2,641,no,no,156,6,-1,0,no
43,management,divorced,3,36,no,no,118,1,102,2,no
55,unemployed,married,3,383,no,no,343,3,-1,0,no
50,blue-collar,married,2,283,yes,no,226,3,-1,0,no
45,management,divorced,3,0,no,no,5,1,-1,0,no
35,blue-collar,divorced,2,3102,yes,no,138,1,-1,0,no
32,blue-collar,married,2,889,yes,no,185,1,99,5,yes
59,housemaid,married,2,0,no,no,722,1,99,4,no
34,self-employed,married,2,-370,yes,no,748,1,-1,0,no
39,management,married,3,-606,yes,no,142,1,-1,0,no
40,management,single,2,10378,yes,no,523,3,-1,0,no
36,blue-collar,single,1,1313,yes,no,8,10,-1,0,no
40,management,married,3,8969,yes,no,153,1,-1,0,no
55,self-employed,married,2,-196,yes,no,210,2,-1,0,no
38,entrepreneur,married,2,15,yes,no,121,1,-1,0,no
61,admin.,married,2,4608,no,no,212,1,-1,0,yes
41,management,married,3,666,yes,no,253,3,-1,0,no
57,blue-collar,married,1,452,yes,no,139,4,-1,0,no
48,blue-collar,married,2,149,yes,no,71,1,-1,0,no
77,retired,married,3,7802,no,no,421,1,92,2,yes
35,services,married,2,1453,yes,no,199,1,-1,0,no
54,blue-collar,married,2,1480,yes,no,108,1,-1,0,no
56,management,single,2,237,yes,no,236,4,-1,0,no
40,technician,married,2,694,yes,no,97,4,196,5,no
40,management,married,3,0,no,no,109,8,-1,0,no
54,management,married,3,55,yes,no,112,2,-1,0,no
55,housemaid,married,1,136,yes,no,15,10,-1,0,no
55,services,divorced,2,-404,yes,no,502,3,-1,0,no
52,blue-collar,married,1,779,yes,no,30,3,-1,0,no
55,blue-collar,single,1,1187,yes,no,193,2,-1,0,no
33,management,married,3,641,yes,no,347,2,-1,0,no
33,services,divorced,2,991,yes,no,148,1,-1,0,no
53,admin.,married,2,1796,no,no,295,1,91,2,yes
46,admin.,married,2,22,no,no,388,6,-1,0,yes
44,technician,single,2,244,yes,no,1735,4,-1,0,yes
48,management,divorced,3,1328,yes,no,339,1,-1,0,no
50,housemaid,married,2,7317,yes,no,172,1,370,1,no
34,technician,single,2,4943,yes,yes,117,2,-1,0,no
38,technician,single,2,258,no,yes,587,2,-1,0,no
42,management,single,3,515,yes,no,501,2,-1,0,no
32,management,single,3,12607,no,no,203,5,84,1,no
58,admin.,married,2,2,yes,yes,282,9,-1,0,no
31,management,married,3,13,no,no,110,5,-1,0,no
19,student,single,1,103,no,no,104,2,-1,0,yes
41,management,married,3,3872,no,no,231,1,-1,0,no
31,unemployed,married,2,296,yes,no,378,3,-1,0,no
52,self-employed,single,1,217,no,yes,193,6,-1,0,no
42,self-employed,divorced,3,360,yes,no,110,5,-1,0,no
41,blue-collar,single,2,428,yes,no,92,1,-1,0,no
30,blue-collar,single,2,315,no,no,1407,1,-1,0,yes
38,blue-collar,married,2,121,yes,yes,168,1,212,2,no
32,management,married,3,820,yes,no,738,3,-1,0,no
52,technician,married,2,195,yes,no,220,1,63,5,yes
48,management,divorced,3,108,yes,no,89,2,-1,0,no
36,management,married,3,-381,yes,no,30,29,-1,0,no
