,is_cancelled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day,weekend_nights,week_nights,adults,children,babies,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,days_in_waiting_list,customer_type,required_car_parking_spaces,special_request,price
75,0,1,2015,7,3,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,131.0
76,0,21,2015,7,3,0,1,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,123.0
77,0,9,2015,7,3,0,1,2,0.0,0,TA/TO,0,0,0,C,0,Transient,0,0,94.71
78,0,109,2015,7,3,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,123.0
79,1,109,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,246.0
80,1,72,2015,7,3,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,147.6
81,1,63,2015,7,3,2,5,2,0.0,0,TA/TO,0,0,0,F,0,Transient,0,1,819.0
88,0,102,2015,7,4,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,674.1
89,1,26,2015,7,4,2,5,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,1141.0
90,1,73,2015,7,4,2,5,3,0.0,0,Direct,0,0,0,D,0,Transient,0,1,1204.0
91,1,102,2015,7,4,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,774.9
92,0,115,2015,7,4,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,412.65
98,1,101,2015,7,4,2,6,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,770.4
99,0,109,2015,7,4,2,6,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,984.0
100,0,92,2015,7,4,4,6,2,0.0,0,TA/TO,0,0,0,D,0,Contract,0,1,715.5
102,0,2,2015,7,4,0,1,2,2.0,0,TA/TO,0,0,0,G,0,Transient,1,0,163.0
104,1,51,2015,7,4,0,1,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,105.0
105,1,36,2015,7,4,0,1,1,0.0,0,Direct,0,0,0,E,0,Transient,0,0,123.0
106,1,73,2015,7,4,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,73.8
107,1,33,2015,7,4,0,1,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,113.0
114,1,5,2015,7,5,1,0,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,97.0
118,0,2,2015,7,5,1,0,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,98.0
119,0,9,2015,7,5,1,0,1,0.0,0,TA/TO,0,0,0,A,0,Transient,1,0,101.0
120,1,5,2015,7,5,1,0,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,97.0
121,0,2,2015,7,5,1,0,2,0.0,0,Direct,0,0,0,G,0,Transient,0,1,167.0
126,0,64,2015,7,5,2,3,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,535.0
129,1,34,2015,7,5,2,4,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,978.0
130,1,93,2015,7,5,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,738.5
133,1,101,2015,7,5,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,798.0
134,0,27,2015,7,5,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,688.8000000000002
135,0,82,2015,7,5,4,6,2,0.0,0,TA/TO,0,0,0,D,0,Transient,1,1,636.0
140,0,94,2015,7,6,1,3,3,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,685.28
143,0,2,2015,7,6,1,0,2,1.0,0,Direct,0,0,0,A,0,Transient,0,0,131.0
146,0,95,2015,7,6,1,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,291.0
147,1,48,2015,7,6,1,3,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,668.0
148,0,66,2015,7,6,1,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,366.0
154,1,86,2015,7,6,2,5,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,497.0
156,0,111,2015,7,6,3,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,1208.0
158,1,67,2015,7,7,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,147.6
162,0,0,2015,7,7,0,1,3,0.0,0,Direct,0,0,0,C,0,Transient,1,0,195.0
163,0,0,2015,7,7,0,1,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,109.8
164,0,8,2015,7,7,0,4,3,2.0,0,TA/TO,0,0,0,G,0,Transient,0,1,772.0
165,0,66,2015,7,7,0,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,388.0
168,1,43,2015,7,7,0,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,457.5
169,1,88,2015,7,7,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,973.0
171,1,292,2015,7,7,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Contract,0,0,330.75
175,1,113,2015,7,8,0,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,492.0
178,1,105,2015,7,8,0,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,295.2
179,0,0,2015,7,8,0,1,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,61.0
180,1,1,2015,7,8,0,1,2,0.0,0,Corporate,0,0,0,A,0,Transient,0,1,104.72
181,1,1,2015,7,8,0,1,2,0.0,0,Corporate,0,0,0,A,0,Transient,0,1,104.72
183,1,102,2015,7,8,1,4,2,0.0,0,Direct,0,0,0,A,0,Transient,0,1,332.1
185,1,280,2015,7,8,2,5,2,1.0,0,TA/TO,0,0,0,D,0,Contract,0,1,784.0
188,0,82,2015,7,8,2,6,3,0.0,0,Direct,0,0,0,A,0,Transient,0,1,896.0
190,0,68,2015,7,9,0,2,3,0.0,0,Direct,0,0,0,A,0,Transient,1,1,248.0
192,1,77,2015,7,9,0,3,2,0.0,0,Direct,0,0,0,D,0,Transient,0,0,291.0
193,1,24,2015,7,9,0,3,2,2.0,0,TA/TO,0,0,0,C,0,Transient,0,1,369.0
194,1,44,2015,7,9,0,3,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,459.0
195,0,78,2015,7,9,0,3,2,0.0,1,TA/TO,0,0,0,A,0,Transient,0,1,246.0
196,1,17,2015,7,9,1,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,420.32
197,1,103,2015,7,9,1,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,261.68
198,0,16,2015,7,9,1,3,1,0.0,0,Direct,0,0,0,A,0,Transient,0,1,392.0
206,1,69,2015,7,9,2,6,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,945.04
207,0,10,2015,7,10,0,1,2,0.0,0,Direct,0,0,0,A,0,Transient,0,0,131.0
213,0,13,2015,7,10,0,2,2,1.0,0,TA/TO,0,0,0,G,0,Transient,1,1,370.0
214,0,108,2015,7,10,0,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,174.6
218,0,106,2015,7,10,1,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,288.9
219,0,30,2015,7,10,2,2,2,0.0,0,Direct,0,0,0,F,0,Transient-Party,0,1,788.0
221,1,51,2015,7,10,2,3,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,615.0
223,0,21,2015,7,10,2,3,2,0.0,2,Direct,0,0,0,C,0,Transient,1,1,825.0
224,0,35,2015,7,10,2,3,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,747.0
225,0,78,2015,7,10,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,1,747.88
228,0,78,2015,7,10,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,1,1,1011.01
229,0,44,2015,7,10,2,5,1,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,1064.0
230,0,34,2015,7,10,2,5,2,1.0,0,TA/TO,0,0,0,F,0,Transient,0,1,878.7800000000002
231,0,87,2015,7,10,2,5,2,1.0,1,TA/TO,0,0,0,C,0,Transient,0,1,936.81
233,0,34,2015,7,10,2,5,2,0.0,0,TA/TO,0,0,0,F,0,Transient,0,1,761.81
234,1,100,2015,7,11,2,3,2,1.0,0,TA/TO,0,0,0,A,0,Transient,0,0,769.8000000000002
236,0,304,2015,7,11,2,4,2,0.0,1,TA/TO,0,0,0,A,0,Transient,0,1,544.02
237,1,36,2015,7,11,2,4,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,760.02
239,0,70,2015,7,11,2,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,1,597.0
240,0,110,2015,7,11,2,5,2,0.0,0,Direct,0,0,0,E,0,Transient,0,1,975.8
241,1,109,2015,7,11,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,516.6
242,0,33,2015,7,11,2,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,359.88
243,0,33,2015,7,11,2,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,492.0
246,0,0,2015,7,11,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,144.9
248,0,0,2015,7,11,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,131.0
249,0,84,2015,7,11,1,1,2,0.0,0,Corporate,0,0,0,A,0,Transient,1,0,200.0
251,0,16,2015,7,11,1,1,2,0.0,0,TA/TO,0,0,0,C,0,Transient,0,1,246.0
252,0,54,2015,7,11,2,1,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,369.0
253,0,8,2015,7,11,2,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,393.0
255,0,40,2015,7,11,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,1162.0
256,1,59,2015,7,11,2,6,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,890.0
261,0,8,2015,7,12,2,4,2,1.0,0,TA/TO,0,0,0,A,0,Transient,1,1,1014.0
262,1,72,2015,7,12,2,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,558.0
265,0,90,2015,7,12,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient-Party,0,1,820.54
266,0,34,2015,7,12,2,5,2,0.0,1,TA/TO,0,0,0,D,0,Transient,0,1,1043.0
267,1,58,2015,7,12,2,5,3,1.0,0,Direct,0,0,0,C,0,Transient,0,1,1151.99
269,0,90,2015,7,12,2,5,2,0.0,1,TA/TO,0,0,0,A,0,Transient-Party,1,1,820.54
270,0,116,2015,7,12,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Contract,0,0,834.75
271,0,31,2015,7,12,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,861.0
272,1,51,2015,7,12,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,739.9699999999998
275,1,97,2015,7,12,3,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,1008.0
277,0,81,2015,7,12,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,551.88
279,0,34,2015,7,12,2,0,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,1,386.0
282,0,1,2015,7,12,2,0,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,229.0
285,0,9,2015,7,12,2,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,353.7000000000001
286,1,24,2015,7,12,2,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,384.0
287,0,97,2015,7,12,2,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,363.8
291,1,47,2015,7,12,2,3,2,0.0,0,TA/TO,0,0,0,F,0,Transient,0,0,519.0
292,0,8,2015,7,12,2,3,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,1,980.0
293,0,34,2015,7,12,2,3,2,0.0,0,TA/TO,0,0,0,D,0,Transient,1,0,747.0
295,1,79,2015,7,13,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,706.02
296,0,91,2015,7,13,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,706.02
302,0,9,2015,7,13,1,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,1,322.0
304,1,45,2015,7,13,1,1,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,246.0
305,0,42,2015,7,13,1,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,1,0,330.0
307,0,51,2015,7,13,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,0,390.0
308,0,54,2015,7,13,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,264.6
310,0,0,2015,7,13,1,3,1,0.0,0,Corporate,0,0,0,A,0,Transient,0,0,456.0
311,1,60,2015,7,13,1,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,397.5
312,1,321,2015,7,13,1,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,664.0
314,1,51,2015,7,13,1,4,2,0.0,0,TA/TO,0,0,0,D,0,Contract,0,0,397.5
315,0,38,2015,7,13,1,4,2,0.0,0,Direct,0,0,0,D,0,Transient,0,0,600.0
316,1,75,2015,7,13,1,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,721.0
318,1,42,2015,7,13,1,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,600.0
319,0,40,2015,7,13,1,4,2,0.0,0,Direct,0,0,0,D,0,Transient,0,1,600.0
320,0,109,2015,7,13,1,4,3,0.0,0,Direct,0,0,0,E,0,Transient,0,1,819.0
321,1,81,2015,7,13,1,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,591.0
322,1,98,2015,7,13,1,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,783.0
323,0,32,2015,7,13,1,5,1,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,918.0
324,0,72,2015,7,13,1,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,591.0
326,1,95,2015,7,13,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,706.02
327,0,16,2015,7,13,1,0,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,1,100.2
331,1,40,2015,7,14,0,1,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,105.5
333,0,1,2015,7,14,0,1,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,8.0
335,1,76,2015,7,14,0,4,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,504.0
337,0,49,2015,7,14,0,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,681.0
340,0,73,2015,7,14,1,5,2,1.0,0,Direct,0,0,0,E,0,Transient-Party,0,1,969.0
341,1,112,2015,7,14,2,5,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,459.9
344,1,62,2015,7,15,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,274.5
345,1,39,2015,7,15,0,3,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,397.32
346,0,37,2015,7,15,2,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,641.4000000000002
347,1,58,2015,7,15,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,923.02
348,0,57,2015,7,15,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient-Party,0,0,214.0
351,0,57,2015,7,15,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient-Party,0,0,214.0
354,0,57,2015,7,15,0,2,1,0.0,0,Direct,0,0,0,A,0,Transient-Party,0,0,188.0
357,0,57,2015,7,15,0,2,1,0.0,0,Direct,0,0,0,A,0,Transient-Party,0,0,188.0
359,0,57,2015,7,15,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient,0,0,214.0
362,0,57,2015,7,15,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient,0,0,214.0
365,0,57,2015,7,15,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient-Party,0,0,197.5
366,1,66,2015,7,16,0,2,2,2.0,0,TA/TO,0,0,0,G,0,Transient,0,1,390.0
368,0,50,2015,7,16,0,1,2,0.0,0,TA/TO,0,0,0,F,0,Transient,0,0,123.2
369,1,48,2015,7,16,0,1,1,0.0,0,Direct,0,0,0,A,0,Transient,0,0,112.0
370,1,0,2015,7,16,0,1,2,0.0,0,TA/TO,0,0,0,F,0,Transient,0,0,123.2
372,0,0,2015,7,16,0,2,2,2.0,0,Direct,0,0,0,G,0,Transient,1,0,396.0
373,1,66,2015,7,16,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,207.0
374,0,13,2015,7,16,0,2,2,1.0,0,TA/TO,0,0,0,A,0,Transient,0,1,271.2
375,0,66,2015,7,16,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,207.0
376,0,10,2015,7,16,0,3,2,0.0,0,Direct,0,0,0,D,0,Transient,1,0,552.0
377,1,10,2015,7,16,0,3,2,0.0,0,Direct,0,0,0,A,0,Transient,0,0,402.0
378,1,58,2015,7,16,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,441.0
379,1,17,2015,7,16,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,453.99
380,0,19,2015,7,16,0,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,363.99
382,1,12,2015,7,16,2,3,2,0.0,0,Direct,0,0,0,E,0,Transient,0,0,695.0
385,1,35,2015,7,16,1,3,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,540.0
386,0,113,2015,7,16,2,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,996.0
387,1,35,2015,7,16,2,4,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,810.0
390,0,7,2015,7,17,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient,0,1,254.5
391,0,17,2015,7,17,0,2,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,328.0
394,1,15,2015,7,17,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,268.0
395,1,7,2015,7,17,0,2,2,0.0,0,Direct,0,0,0,A,0,Transient,0,1,254.5
397,1,6,2015,7,17,0,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,221.0
399,0,1,2015,7,17,0,2,2,0.0,0,Direct,0,0,0,D,0,Transient,0,0,289.0
400,0,48,2015,7,17,0,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,246.0
402,1,3,2015,7,17,0,2,1,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,215.2
403,1,23,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,361.8
404,0,53,2015,7,17,2,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient-Party,0,0,535.0
410,0,64,2015,7,17,2,3,1,0.0,0,TA/TO,0,0,0,A,0,Transient-Party,0,1,424.0
411,0,53,2015,7,17,2,3,2,0.0,0,TA/TO,0,0,0,A,0,Transient-Party,1,0,535.0
412,0,24,2015,7,17,2,3,3,1.0,0,Direct,0,0,0,G,0,Transient,0,1,975.0
413,0,24,2015,7,17,2,4,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,984.0
414,0,53,2015,7,17,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,875.0
419,0,65,2015,7,17,2,6,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,1176.0
420,0,92,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,1,310.5
423,0,6,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,D,0,Contract,0,0,384.81000000000006
424,0,38,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,405.0
426,1,32,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,462.0
427,0,315,2015,7,17,1,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,288.9
429,1,0,2015,7,17,0,1,2,0.0,0,Direct,0,0,0,G,0,Transient,0,0,136.0
430,0,91,2015,7,17,1,2,2,1.0,0,TA/TO,0,0,0,A,0,Transient,0,1,355.5
435,0,108,2015,7,18,2,4,2,1.0,0,TA/TO,0,0,0,A,0,Transient,1,1,882.0
436,1,37,2015,7,18,2,4,2,2.0,0,TA/TO,0,0,0,C,0,Transient,0,0,1009.8
437,0,45,2015,7,18,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,1169.0
441,1,96,2015,7,18,2,2,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,588.0
442,1,123,2015,7,18,2,2,2,0.0,1,TA/TO,0,0,0,E,0,Transient,0,1,628.0
447,0,4,2015,7,18,1,1,1,2.0,0,TA/TO,0,0,0,G,0,Transient,0,0,373.0
449,0,95,2015,7,18,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,1,0,1076.11
451,1,40,2015,7,18,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,1,889.21
452,0,64,2015,7,18,2,5,2,0.0,0,Direct,0,0,0,D,0,Transient,0,1,897.75
455,0,57,2015,7,18,2,6,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,1080.0
459,0,6,2015,7,19,1,0,2,0.0,0,Direct,0,0,0,D,0,Transient,0,0,135.0
460,0,0,2015,7,19,1,0,2,0.0,0,TA/TO,0,0,0,A,0,Group,0,0,88.2
462,0,4,2015,7,19,2,0,2,0.0,0,TA/TO,0,0,0,E,0,Transient,1,1,309.0
463,1,59,2015,7,19,2,1,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,0,435.0
465,1,37,2015,7,19,2,2,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,616.0
467,1,38,2015,7,19,2,4,1,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,663.1800000000002
468,1,62,2015,7,19,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,1109.5
470,1,60,2015,7,19,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,0,823.9699999999998
472,1,62,2015,7,19,2,5,2,0.0,0,TA/TO,0,0,0,E,0,Transient,0,1,1109.5
473,0,117,2015,7,19,2,5,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,824.88
474,1,31,2015,7,19,2,5,2,0.0,0,TA/TO,0,0,0,D,0,Transient,0,0,1078.0
477,1,104,2015,7,19,2,4,2,0.0,0,TA/TO,0,0,0,A,0,Transient,0,1,690.0
